username,followers,votes
ayol,0,3
dan_shea,0,4
ebi101,0,4
oliatienza,0,4
simon_briggs,0,4
glenisahat,0,5
johnny_white,0,5
justin_k,0,5
larry_nocella,0,5
adam_wardle,0,7
alex_meesters,0,8
ludics,0,9
felixjingga,0,10
jeremyc,0,10
joseph_little,0,10
rlzzl,0,10
ninad_bondre,0,11
ckorski,0,12
ducnguy53562583,0,12
ja,0,14
nik_cain,0,16
anze_pavsek,0,19
kowalskiajason,0,26
timmy_svi,0,29
bruno_caldeira,0,30
benjamin_mahorney,0,31
vlad_radulescu,0,38
amped,0,68
libertytech,0,79
jhayes44,0,105
tbodenski,0,137
gngcreative,1,3
boomieblast,1,4
ignasi_easymind,1,4
austinmill3r,1,5
brevis_ua,1,5
lovelyalexah,1,5
markbosswriter,1,5
natedicken,1,5
sergio_paolantonio,1,5
autoanathema,1,6
pelle,1,6
bounceme,1,7
liza_jeff,1,7
dandan_dev,1,8
rahul_mehta,1,8
andreas_ackermann,1,9
rhughes,1,9
sezeregrek,1,9
bladeszasza,1,10
pdharma29,1,10
vinodhindia,1,11
dabeku,1,12
zmxv,1,13
marothiyalaxman,1,21
cheb_pro,1,22
idnan,1,22
icepoint,1,25
marc_sollinger,1,25
matthewhoelter,1,29
marcelo_beilin,1,30
mackenzie_hill,1,31
smitechen,1,34
joey_hamlet,1,40
abigailkeeso,1,43
andreas_skaalerud,1,48
speter,1,52
cyril_nb,1,56
akopachov,1,58
robigyorky,1,62
sainath_kotha,1,71
gillis_baxter,1,76
jim_brock,1,102
luke_freeman,1,180
mrschuette,1,183
istaging,1,239
abaker237,2,2
js_leonard,2,2
cobblestonepubl,2,3
amir_gaouaou,2,4
drharoldarnold,2,4
em0071,2,4
gamer100,2,4
alezotoff,2,5
chris_roberts,2,5
ken_carfagno,2,6
kyleu,2,7
inlife360,2,8
leonardo_dalmina,2,8
qsagbi,2,8
inyourdreamz,2,9
gabor_agocs,2,11
kleaklass,2,11
mattlrobinson7,2,11
ryanlipkin,2,12
jimicock,2,13
julienmissial,2,13
gokhan_kilci,2,14
kurtlamond,2,14
intlplayer,2,21
rocky_wang,2,23
zebulonraphael,2,25
manuj_bahl,2,26
sonosar,2,27
yoooooolauren,2,27
alohatj,2,32
r_andrewmurdoch,2,33
vigneshv59,2,39
james_curl,2,54
zurdors,2,55
trentcain,2,59
gabrielmgst,2,64
cherylman,2,67
chrisxev,2,69
robsox128,2,74
confechner1,2,86
blakemgeorge,2,99
clearthegap,2,102
petrfodor,2,110
mikepelias,2,119
eeirinberg,2,342
sylviegreenberg,3,2
harvona,3,5
jjfscheffer,3,6
faunafacestudio,3,7
matt_wei,3,7
sethabayles,3,7
datamadsen,3,9
dichai1983,3,9
prezilancer,3,9
christianstrang,3,10
kittykitesgame,3,10
art,3,12
aiabee,3,13
cezary_wojcik,3,14
stickypearl,3,14
whaletastic,3,14
adds,3,16
jrdnpwrs,3,16
agamarchewka,3,17
getlucky9987,3,20
jordan_simas,3,20
praveen_nahata,3,22
alex_draft,3,23
wooschneider,3,23
guillaume_sztej,3,25
gubarev,3,26
hayknet,3,26
maskileison,3,26
jeremysenn,3,27
nauglehyde,3,27
ahmerbeg,3,29
dan335,3,30
